number,item_id,name,born,died,nationality,nationality_distractor,occupation,occupation_distractor,lifetime,life_status,life_status_distractor,life_status_year_verb,life_status_year_before,life_status_year_after,life_status_year_before_match,life_status_year_correct,bio,critical,pronoun,verb,adjectiv,np,spillover1,spillover2,bio_pic,bio_spr,critical_spr,type,tense,condition,match,mismatch,list,pre_task,bare_verb,prac_correct,prac_incorrect,file_name
2,2,Al Pacino,alive,alive,American,filler,actor and film-maker,filler,filler,alive,filler,filler,filler,filler,filler,filler,Al Pacino is an American actor and film-maker. He grew up in New York City.,She has been called one of the best actresses in film history.,filler,filler,filler,filler,filler,filler,"Look at the picture of Al Pacino, an American actor and film-maker.",Al Pacino*is*an American*actor and film-maker.*He*grew up*in New York City.,She*has been called*one of the best*actresses*in film history.,filler,PPPass,alivePPPass,no,gender,88,yes,be called,filler,filler,Al_Pacino.jpg
1,8,Adam Driver,alive,alive,American,filler,actor,filler,filler,alive,filler,filler,filler,filler,filler,filler,"Adam Driver is an American actor. He lives in Brooklyn, New York.","She is the recipient of many accolades, as seen on social media.",filler,filler,filler,filler,filler,filler,"Look at the picture of Adam Driver, an American actor.","Adam Driver*is*an American*actor.*He*lives*in Brooklyn, New York.","She*is*the recipient*of many*accolades,*as seen on*social media.",filler,PresS,alivePresS,no,gender,88,no,be,filler,filler,Adam_Driver.jpg
19,18,Macaulay Culkin,alive,alive,American,filler,actor,filler,filler,alive,filler,filler,filler,filler,filler,filler,Macaulay Culkin is an American actor. He lives in Paris.,He has been a Hollywood star since he was a child.,filler,filler,filler,filler,filler,filler,"Look at the picture of Macaulay Culkin, an American actor.",Macaulay Culkin*is*an American*actor.*He*lives*in Paris.,He*has been*a Hollywood star*since*he was a child.,filler,PP,alivePP,yes,no,88,no,be,filler,filler,Macaulay_Culkin.jpg
16,20,Lady Gaga,alive,alive,American,filler,musician,filler,filler,alive,filler,filler,filler,filler,filler,filler,Lady Gaga is an American musician. She lives in Malibu.,She is known for her musical versatility and image reinventions.,filler,filler,filler,filler,filler,filler,"Look at the picture of Lady Gaga, an American musician.",Lady Gaga*is*an American*musician.*She*lives*in Malibu.,She*is known*for her*musical versatility*and image reinventions.,filler,PresPass,alivePresPass,yes,no,88,no,be known,filler,filler,Lady_Gaga.jpg
15,2,John Krasinski,alive,alive,American,filler,actor,filler,filler,alive,filler,filler,filler,filler,filler,filler,John Krasinski is an American actor. He was born in Boston.,"He is married to Emily Blunt, as is well-known.",filler,filler,filler,filler,filler,filler,"Look at the picture of John Krasinski, an American actor.",John Krasinski*is*an American*actor.*He*was born*in Boston.,"He*is*married to*Emily Blunt,*as is*well-known.",filler,PresPass,alivePresPass,yes,no ,88,yes,be married,filler,filler,John_Krasinski.jpg
18,17,Linkin Park,alive,alive,American,filler,rock band,filler,filler,alive,filler,filler,filler,filler,filler,filler,Linkin Park is an American rock band. They formed in 1996.,He is among the best-selling musicians of the 21st century.,filler,filler,filler,filler,filler,filler,"Look at the picture of Linkin Park, an American rock band.",Linkin Park*is*an American*rock band.*They*formed*in 1996.,He*is*among the best-selling*musicians*of the 21st century.,filler,PresS,alivePresS,no,number,88,no,be,filler,filler,Linkin_Park.png
7,11,Chicago Bulls,alive,alive,American,filler,basketball team,filler,filler,alive,filler,filler,filler,filler,filler,filler,The Chicago Bulls are an American basketball team. They were founded in 1966.,"They are based in Miami, if one believes Twitter.",filler,filler,filler,filler,filler,filler,"Look at the picture of Chicago Bulls, an American basketball team.",The Chicago Bulls*are*an American*basketball team.*They*were founded*in 1966.,"They*are*based*in Miami,*if one believes*Twitter.",filler,PresPass,alivePresPass,no,place,88,yes,be based,filler,filler,Chicago_Bulls.jpg
4,22,Ava Gardner,dead,dead,American,filler,actor,filler,filler,dead,filler,filler,filler,filler,filler,filler,Ava Gardner was an American actress. She died in London.,"He was married to Frank Sinatra, as reported by the media.",filler,filler,filler,filler,filler,filler,"Look at the picture of Ava Gardner, an American actor.",Ava Gardner*was*an American*actress.*She*died*in London.,"He*was*married*to Frank Sinatra,*as reported by*the media.",filler,PastPass,deadPastPass,no,gender,88,no,be married,filler,filler,Ava_Gardner.jpg
13,30,Jerry Stiller,dead,dead,American,filler,actor,filler,filler,dead,filler,filler,filler,filler,filler,filler,Jerry Stiller was an American actor. He died in Manhattan.,"She had supporting roles in several sitcoms, as reported by the media.",filler,filler,filler,filler,filler,filler,"Look at the picture of Jerry Stiller, an American actor.",Jerry Stiller*was*an American*actor.*He*died*in Manhattan.,"She*had*supporting*roles*in several*sitcoms,*as reported by*the media.",filler,PS,deadPS,no,gender,88,no,have,filler,filler,Jerry_Stiller.jpg
10,23,Farrah Fawcett,dead,dead,American,filler,actor,filler,filler,dead,filler,filler,filler,filler,filler,filler,Farrah Fawcett was an American actress. She died in Santa Monica.,"She was an original cast member on 'Charlie's Angels', as reported by the media.",filler,filler,filler,filler,filler,filler,"Look at the picture of Farrah Fawcett, an American actor.",Farrah Fawcett*was*an American*actress.*She*died*in Santa Monica.,"She*was*an original*cast member*on*'Charlie's Angels',*as reported by*the media.",filler,PS,deadPS,yes,no,88,no,be,filler,filler,Farrah_Fawcett.jpg
