number,item_id,name,born,died,nationality,nationality_distractor,occupation,occupation_distractor,lifetime,life_status,life_status_distractor,life_status_year_verb,life_status_year_verb_distractor,life_status_year_before,life_status_year_after,life_status_year_before_match,life_status_year_correct,bio,critical,pronoun,verb,adjectiv,np,spillover1,spillover2,bio_pic,bio_spr,critical_spr,type,tense,condition,match,mismatch,list,bare_verb,prac_correct,prac_incorrect,file_name,pre_task
1,1,Anthony Hopkins,1963,alive,Welsh,French,actor,singer,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Anthony Hopkins is a Welsh actor. He lives in Los Angeles.,"He has received prestigious acting awards, as reported by his website.",He,has received,prestigious,"acting awards,",as reported by,his website.,"Look at the picture of Anthony Hopkins, a Welsh actor.",Anthony Hopkins*is*a Welsh*actor.*He*lives*in Los Angeles.,"He*has received*prestigious*acting awards,*as reported by*his website.",critical,PP,alivePP,yes,match,1,receive,crit,crit,Anthony_Hopkins.jpg,yes
2,1,Anthony Hopkins,1963,alive,Welsh,French,actor,singer,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Anthony Hopkins is a Welsh actor. He lives in Los Angeles.,"He received prestigious acting awards, as reported by his website.",He,received,prestigious,"acting awards,",as reported by,his website.,"Look at the picture of Anthony Hopkins, a Welsh actor.",Anthony Hopkins*is*a Welsh*actor.*He*lives*in Los Angeles.,"He*received*prestigious*acting awards,*as reported by*his website.",critical,PS,alivePS,no,alivePS,2,receive,crit,crit,Anthony_Hopkins.jpg,yes
7,2,Johnny Depp,1963,alive,American,Irish,actor,politician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Johnny Depp is an American actor. He lives in Los Angeles.,"He has starred in critically acclaimed film productions, so his memoir says.",He,has starred,in critically acclaimed,"film productions,",so his,memoir says.,"Look at the picture of Johnny Depp, an American actor.",Johnny Depp*is*an American*actor.*He*lives*in Los Angeles.,"He*has starred*in critically acclaimed*film productions,*so his*memoir says.",critical,PP,alivePP,yes,match,2,star,crit,crit,Johnny_Depp.jpg,yes
8,2,Johnny Depp,1963,alive,American,Irish,actor,politician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Johnny Depp is an American actor. He lives in Los Angeles.,"He starred in critically acclaimed film productions, so his memoir says.",He,starred,in critically acclaimed,"film productions,",so his,memoir says.,"Look at the picture of Johnny Depp, an American actor.",Johnny Depp*is*an American*actor.*He*lives*in Los Angeles.,"He*starred*in critically acclaimed*film productions,*so his*memoir says.",critical,PS,alivePS,no,alivePS,3,star,crit,crit,Johnny_Depp.jpg,yes
13,3,Tom Hanks,1956,alive,American,French,actor,musician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Tom Hanks is an American actor. He lives in Los Angeles.,"He has performed in award-winning blockbusters, as reported by the media.",He,has performed,in award-winning,"blockbusters,",as reported by,the media.,"Look at the picture of Tom Hanks, an American actor.",Tom Hanks*is*an American*actor.*He*lives*in Los Angeles.,"He*has performed*in award-winning*blockbusters,*as reported by*the media.",critical,PP,alivePP,yes,match,3,perform,crit,crit,Tom_Hanks.jpg,yes
14,3,Tom Hanks,1956,alive,American,French,actor,musician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Tom Hanks is an American actor. He lives in Los Angeles.,"He performed in award-winning blockbusters, as reported by the media.",He,performed,in award-winning,"blockbusters,",as reported by,the media.,"Look at the picture of Tom Hanks, an American actor.",Tom Hanks*is*an American*actor.*He*lives*in Los Angeles.,"He*performed*in award-winning*blockbusters,*as reported by*the media.",critical,PS,alivePS,no,alivePS,4,perform,crit,crit,Tom_Hanks.jpg,yes
19,4,Rowan Atkinson,1955,alive,English,Danish,actor,scientist,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Rowan Atkinson is an English actor. He lives in London.,"He has appeared in critically lauded comedies, according to his biographer.",He,has appeared,in critically lauded,"comedies,",according to,his biographer.,"Look at the picture of Rowan Atkinson, an English actor.",Rowan Atkinson*is*an English*actor.*He*lives*in London.,"He*has appeared*in critically lauded*comedies,*according to*his biographer.",critical,PP,alivePP,yes,match,4,appear,crit,crit,Rowan_Atkinson.png,yes
20,4,Rowan Atkinson,1955,alive,English,Danish,actor,scientist,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Rowan Atkinson is an English actor. He lives in London.,"He appeared in critically lauded comedies, according to his biographer.",He,appeared,in critically lauded,"comedies,",according to,his biographer.,"Look at the picture of Rowan Atkinson, an English actor.",Rowan Atkinson*is*an English*actor.*He*lives*in London.,"He*appeared*in critically lauded*comedies,*according to*his biographer.",critical,PS,alivePS,no,alivePS,5,appear,crit,crit,Rowan_Atkinson.png,yes
25,6,Kate Winslet,1972,alive,English,Canadian,actress,politician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Kate Winslet is an English actress. She lives in West Sussex.,"She has starred in well-received dramas, so her Wikipedia page states.",She,has starred,in well-received,"dramas,",so her,Wikipedia page states.,"Look at the picture of Kate Winslet, an English actress.",Kate Winslet*is*an English*actress.*She*lives*in West Sussex.,"She*has starred*in well-received*dramas,*so her*Wikipedia page states.",critical,PP,alivePP,yes,match,5,star,crit,crit,Kate_Winslet.jpg,yes
26,6,Kate Winslet,1972,alive,English,Canadian,actress,politician,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Kate Winslet is an English actress. She lives in West Sussex.,"She starred in well-received dramas, so her Wikipedia page states.",She,starred,in well-received,"dramas,",so her,Wikipedia page states.,"Look at the picture of Kate Winslet, an English actress.",Kate Winslet*is*an English*actress.*She*lives*in West Sussex.,"She*starred*in well-received*dramas,*so her*Wikipedia page states.",critical,PS,alivePS,no,alivePS,6,star,crit,crit,Kate_Winslet.jpg,yes
31,7,Joaquin Phoenix,1974,alive,American,French,actor,businessman,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Joaquin Phoenix is an American actor. He lives in Los Angeles.,"He has worked with well-known film directors, according to his website.",He,has worked,with well-known,"film directors,",according to,his website.,"Look at the picture of Joaquin Phoenix, an American actor.",Joaquin Phoenix*is*an American*actor.*He*lives*in Los Angeles.,"He*has worked*with well-known*film directors,*according to*his website.",critical,PP,alivePP,yes,match,6,work,crit,crit,Joaquin_Phoenix.jpg,yes
32,7,Joaquin Phoenix,1974,alive,American,French,actor,businessman,alive,alive,dead,born,died,before 1925,after 1925,no,after 1925,Joaquin Phoenix is an American actor. He lives in Los Angeles.,"He worked with well-known film directors, according to his website.",He,worked,with well-known,"film directors,",according to,his website.,"Look at the picture of Joaquin Phoenix, an American actor.",Joaquin Phoenix*is*an American*actor.*He*lives*in Los Angeles.,"He*worked*with well-known*film directors,*according to*his website.",critical,PS,alivePS,no,alivePS,1,work,crit,crit,Joaquin_Phoenix.jpg,yes
